Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ytre Holmebukt;SN91080;20.01.2005;3,6;25
Ytre Holmebukt;SN91080;21.01.2005;0;24
Ytre Holmebukt;SN91080;22.01.2005;0;24
Ytre Holmebukt;SN91080;23.01.2005;0;24
Ytre Holmebukt;SN91080;24.01.2005;2,4;31
Ytre Holmebukt;SN91080;25.01.2005;0,1;28
Ytre Holmebukt;SN91080;26.01.2005;11,6;45
Ytre Holmebukt;SN91080;27.01.2005;0,8;42
Ytre Holmebukt;SN91080;28.01.2005;0;39
Ytre Holmebukt;SN91080;29.01.2005;0;39
Ytre Holmebukt;SN91080;30.01.2005;4,2;39
Ytre Holmebukt;SN91080;31.01.2005;30,1;54
Ytre Holmebukt;SN91080;01.02.2005;17,3;57
Ytre Holmebukt;SN91080;02.02.2005;1,2;49
Ytre Holmebukt;SN91080;03.02.2005;0,1;45
Ytre Holmebukt;SN91080;04.02.2005;4,1;36
Ytre Holmebukt;SN91080;05.02.2005;14,4;38
Ytre Holmebukt;SN91080;06.02.2005;8,6;41
Ytre Holmebukt;SN91080;07.02.2005;15,6;39
Ytre Holmebukt;SN91080;08.02.2005;0;38
Ytre Holmebukt;SN91080;09.02.2005;0;38
Ytre Holmebukt;SN91080;10.02.2005;0;38
Ytre Holmebukt;SN91080;11.02.2005;2,1;39
Ytre Holmebukt;SN91080;12.02.2005;17,2;62
Ytre Holmebukt;SN91080;13.02.2005;0,9;59
Ytre Holmebukt;SN91080;14.02.2005;0;58
Ytre Holmebukt;SN91080;15.02.2005;0;58
Ytre Holmebukt;SN91080;16.02.2005;0;55
Ytre Holmebukt;SN91080;17.02.2005;0;52
Ytre Holmebukt;SN91080;18.02.2005;0;48
Ytre Holmebukt;SN91080;19.02.2005;0;45
Ytre Holmebukt;SN91080;20.02.2005;0;44
Ytre Holmebukt;SN91080;21.02.2005;0;44
Ytre Holmebukt;SN91080;22.02.2005;0;44
Ytre Holmebukt;SN91080;23.02.2005;0;44
Ytre Holmebukt;SN91080;24.02.2005;0,1;44
Ytre Holmebukt;SN91080;25.02.2005;3,2;45
Ytre Holmebukt;SN91080;26.02.2005;8,2;49
Ytre Holmebukt;SN91080;27.02.2005;4,7;53
Ytre Holmebukt;SN91080;28.02.2005;2,6;56
Ytre Holmebukt;SN91080;01.03.2005;0;55
