Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Tromsø Plu;SN90451;02.03.2012;18,9
Tromsø Plu;SN90451;03.03.2012;3,9
Tromsø Plu;SN90451;04.03.2012;0
Tromsø Plu;SN90451;05.03.2012;0
Tromsø Plu;SN90451;06.03.2012;0
Tromsø Plu;SN90451;07.03.2012;0
Tromsø Plu;SN90451;08.03.2012;0
Tromsø Plu;SN90451;09.03.2012;0,1
Tromsø Plu;SN90451;10.03.2012;0,5
Tromsø Plu;SN90451;11.03.2012;8,1
Tromsø Plu;SN90451;12.03.2012;9,3
Tromsø Plu;SN90451;13.03.2012;12,6
Tromsø Plu;SN90451;14.03.2012;10,1
Tromsø Plu;SN90451;15.03.2012;1,8
Tromsø Plu;SN90451;16.03.2012;6,7
Tromsø Plu;SN90451;17.03.2012;6,9
Tromsø Plu;SN90451;18.03.2012;2,4
Tromsø Plu;SN90451;19.03.2012;0,1
Tromsø Plu;SN90451;20.03.2012;0
Tromsø Plu;SN90451;21.03.2012;0
Tromsø Plu;SN90451;22.03.2012;1,1
Tromsø Plu;SN90451;23.03.2012;2
Tromsø Plu;SN90451;24.03.2012;0,9
Tromsø Plu;SN90451;25.03.2012;4,4
Tromsø Plu;SN90451;26.03.2012;9,4
Tromsø Plu;SN90451;27.03.2012;16,6
Tromsø Plu;SN90451;28.03.2012;12
Tromsø Plu;SN90451;29.03.2012;5,3
Tromsø Plu;SN90451;30.03.2012;0
Tromsø Plu;SN90451;31.03.2012;3
Tromsø Plu;SN90451;01.04.2012;0,9
Tromsø Plu;SN90451;02.04.2012;0
Tromsø Plu;SN90451;03.04.2012;0
Tromsø Plu;SN90451;04.04.2012;3,4
Tromsø Plu;SN90451;05.04.2012;9,5
Tromsø Plu;SN90451;06.04.2012;4,9
Tromsø Plu;SN90451;07.04.2012;5,7
Tromsø Plu;SN90451;08.04.2012;5,4
Tromsø Plu;SN90451;09.04.2012;0
Tromsø Plu;SN90451;10.04.2012;0
Tromsø Plu;SN90451;11.04.2012;0
Tromsø Plu;SN90451;12.04.2012;2,5
Tromsø Plu;SN90451;13.04.2012;1
Tromsø Plu;SN90451;14.04.2012;0,3
Tromsø Plu;SN90451;15.04.2012;0
Tromsø Plu;SN90451;16.04.2012;0
Tromsø Plu;SN90451;17.04.2012;0,1
Tromsø Plu;SN90451;18.04.2012;0
Tromsø Plu;SN90451;19.04.2012;0
Tromsø Plu;SN90451;20.04.2012;0
Tromsø Plu;SN90451;21.04.2012;0
Tromsø Plu;SN90451;22.04.2012;0
Tromsø Plu;SN90451;23.04.2012;0
Tromsø Plu;SN90451;24.04.2012;0
Tromsø Plu;SN90451;25.04.2012;0
Tromsø Plu;SN90451;26.04.2012;0
Tromsø Plu;SN90451;27.04.2012;0
Tromsø Plu;SN90451;28.04.2012;3,4
Tromsø Plu;SN90451;29.04.2012;5,7
Tromsø Plu;SN90451;30.04.2012;0,5
Tromsø Plu;SN90451;01.05.2012;7,4
Tromsø Plu;SN90451;02.05.2012;3,3
Tromsø Plu;SN90451;03.05.2012;3,7
Tromsø Plu;SN90451;04.05.2012;1
Tromsø Plu;SN90451;05.05.2012;0
Tromsø Plu;SN90451;06.05.2012;0
Tromsø Plu;SN90451;07.05.2012;0
Tromsø Plu;SN90451;08.05.2012;3,4
Tromsø Plu;SN90451;09.05.2012;2,1
Tromsø Plu;SN90451;10.05.2012;0,3
Tromsø Plu;SN90451;11.05.2012;1,7
Tromsø Plu;SN90451;12.05.2012;2,8
Tromsø Plu;SN90451;13.05.2012;2,1
Tromsø Plu;SN90451;14.05.2012;0,4
Tromsø Plu;SN90451;15.05.2012;0,3
Tromsø Plu;SN90451;16.05.2012;0
Tromsø Plu;SN90451;17.05.2012;0
Tromsø Plu;SN90451;18.05.2012;0,2
Tromsø Plu;SN90451;19.05.2012;6,4
Tromsø Plu;SN90451;20.05.2012;0,7
Tromsø Plu;SN90451;21.05.2012;7
Tromsø Plu;SN90451;22.05.2012;4
Tromsø Plu;SN90451;23.05.2012;0,2
Tromsø Plu;SN90451;24.05.2012;0
Tromsø Plu;SN90451;25.05.2012;4,9
Tromsø Plu;SN90451;26.05.2012;4,8
Tromsø Plu;SN90451;27.05.2012;0,2
Tromsø Plu;SN90451;28.05.2012;12,4
Tromsø Plu;SN90451;29.05.2012;19
Tromsø Plu;SN90451;30.05.2012;8,1
Tromsø Plu;SN90451;31.05.2012;3,4
Tromsø Plu;SN90451;01.06.2012;0
Tromsø Plu;SN90451;02.06.2012;0,1
Tromsø Plu;SN90451;03.06.2012;0
Tromsø Plu;SN90451;04.06.2012;0
Tromsø Plu;SN90451;05.06.2012;0
Tromsø Plu;SN90451;06.06.2012;0
Tromsø Plu;SN90451;07.06.2012;0
Tromsø Plu;SN90451;08.06.2012;2,1
Tromsø Plu;SN90451;09.06.2012;0,7
Tromsø Plu;SN90451;10.06.2012;0,1
Tromsø Plu;SN90451;11.06.2012;0,4
Tromsø Plu;SN90451;12.06.2012;0,7
Tromsø Plu;SN90451;13.06.2012;0,1
Tromsø Plu;SN90451;14.06.2012;0
Tromsø Plu;SN90451;15.06.2012;1
Tromsø Plu;SN90451;16.06.2012;1,7
Tromsø Plu;SN90451;17.06.2012;0
Tromsø Plu;SN90451;18.06.2012;0
Tromsø Plu;SN90451;19.06.2012;0,9
Tromsø Plu;SN90451;20.06.2012;12,6
Tromsø Plu;SN90451;21.06.2012;16,4
Tromsø Plu;SN90451;22.06.2012;1,2
Tromsø Plu;SN90451;23.06.2012;0
Tromsø Plu;SN90451;24.06.2012;0
Tromsø Plu;SN90451;25.06.2012;0
Tromsø Plu;SN90451;26.06.2012;0,8
Tromsø Plu;SN90451;27.06.2012;0,2
Tromsø Plu;SN90451;28.06.2012;0,5
Tromsø Plu;SN90451;29.06.2012;0
Tromsø Plu;SN90451;30.06.2012;0
Tromsø Plu;SN90451;01.07.2012;0
Tromsø Plu;SN90451;02.07.2012;1,4
Tromsø Plu;SN90451;03.07.2012;19,4
Tromsø Plu;SN90451;04.07.2012;1,1
Tromsø Plu;SN90451;05.07.2012;0
Tromsø Plu;SN90451;06.07.2012;2,8
Tromsø Plu;SN90451;07.07.2012;2,2
Tromsø Plu;SN90451;08.07.2012;0,5
Tromsø Plu;SN90451;09.07.2012;0,1
Tromsø Plu;SN90451;10.07.2012;0,2
Tromsø Plu;SN90451;11.07.2012;0
Tromsø Plu;SN90451;12.07.2012;0
Tromsø Plu;SN90451;13.07.2012;0,5
Tromsø Plu;SN90451;14.07.2012;0
Tromsø Plu;SN90451;15.07.2012;20,4
Tromsø Plu;SN90451;16.07.2012;0,9
Tromsø Plu;SN90451;17.07.2012;6
Tromsø Plu;SN90451;18.07.2012;3,1
Tromsø Plu;SN90451;19.07.2012;1,1
Tromsø Plu;SN90451;20.07.2012;2,5
Tromsø Plu;SN90451;21.07.2012;2
Tromsø Plu;SN90451;22.07.2012;3,7
Tromsø Plu;SN90451;23.07.2012;1,2
Tromsø Plu;SN90451;24.07.2012;3,6
Tromsø Plu;SN90451;25.07.2012;9,8
Tromsø Plu;SN90451;26.07.2012;9,9
Tromsø Plu;SN90451;27.07.2012;1,6
Tromsø Plu;SN90451;28.07.2012;0,4
Tromsø Plu;SN90451;29.07.2012;3,5
Tromsø Plu;SN90451;30.07.2012;0,2
Tromsø Plu;SN90451;31.07.2012;0,1
Tromsø Plu;SN90451;01.08.2012;1,5
Tromsø Plu;SN90451;02.08.2012;3,5
Tromsø Plu;SN90451;03.08.2012;2,8
Tromsø Plu;SN90451;04.08.2012;0,2
Tromsø Plu;SN90451;05.08.2012;0
Tromsø Plu;SN90451;06.08.2012;0,1
Tromsø Plu;SN90451;07.08.2012;0
Tromsø Plu;SN90451;08.08.2012;0
Tromsø Plu;SN90451;09.08.2012;0
Tromsø Plu;SN90451;10.08.2012;0
Tromsø Plu;SN90451;11.08.2012;1
Tromsø Plu;SN90451;12.08.2012;3,9
