Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Snødybde
Fv91 Breivikeidet;SN91010;29.12.2023;-17,6;-
Fv91 Breivikeidet;SN91010;30.12.2023;-20,3;-
Fv91 Breivikeidet;SN91010;31.12.2023;-20,8;-
Fv91 Breivikeidet;SN91010;06.01.2024;-3,2;-
Fv91 Breivikeidet;SN91010;08.01.2024;0,7;-
Fv91 Breivikeidet;SN91010;09.01.2024;3,1;-
Fv91 Breivikeidet;SN91010;10.01.2024;1,1;-
Fv91 Breivikeidet;SN91010;11.01.2024;-4;-
Fv91 Breivikeidet;SN91010;12.01.2024;-8;-
Fv91 Breivikeidet;SN91010;13.01.2024;-6,6;-
Fv91 Breivikeidet;SN91010;16.01.2024;-10,4;-
Fv91 Breivikeidet;SN91010;17.01.2024;-9,1;-
Fv91 Breivikeidet;SN91010;19.01.2024;-22,8;-
Fv91 Breivikeidet;SN91010;21.01.2024;-6,5;-
Fv91 Breivikeidet;SN91010;22.01.2024;-4,8;-
Fv91 Breivikeidet;SN91010;23.01.2024;0,1;-
Fv91 Breivikeidet;SN91010;24.01.2024;-9,5;-
Fv91 Breivikeidet;SN91010;25.01.2024;-13,5;-
Fv91 Breivikeidet;SN91010;26.01.2024;-9,2;-
Fv91 Breivikeidet;SN91010;27.01.2024;1,4;-
Fv91 Breivikeidet;SN91010;28.01.2024;0,9;-
Fv91 Breivikeidet;SN91010;29.01.2024;4,1;-
Fv91 Breivikeidet;SN91010;30.01.2024;3,2;-
Fv91 Breivikeidet;SN91010;31.01.2024;1,7;-
Fv91 Breivikeidet;SN91010;03.02.2024;-5,3;-
Fv91 Breivikeidet;SN91010;04.02.2024;-5;-
Fv91 Breivikeidet;SN91010;05.02.2024;-12,2;-
Fv91 Breivikeidet;SN91010;06.02.2024;-16,2;-
Fv91 Breivikeidet;SN91010;07.02.2024;-15,5;-
Fv91 Breivikeidet;SN91010;08.02.2024;-20,2;-
Fv91 Breivikeidet;SN91010;13.02.2024;-15;-
Fv91 Breivikeidet;SN91010;14.02.2024;-4,7;-
Fv91 Breivikeidet;SN91010;18.02.2024;-2,4;-
Fv91 Breivikeidet;SN91010;19.02.2024;-0,4;-
Fv91 Breivikeidet;SN91010;21.02.2024;-1,8;-
Fv91 Breivikeidet;SN91010;22.02.2024;-3,5;-
Fv91 Breivikeidet;SN91010;23.02.2024;-4,4;-
Fv91 Breivikeidet;SN91010;24.02.2024;5,9;-
Fv91 Breivikeidet;SN91010;25.02.2024;4,3;-
Fv91 Breivikeidet;SN91010;26.02.2024;0,9;-
Fv91 Breivikeidet;SN91010;27.02.2024;-0,3;-
Fv91 Breivikeidet;SN91010;29.02.2024;2,7;-
Fv91 Breivikeidet;SN91010;01.03.2024;5,6;-
Fv91 Breivikeidet;SN91010;02.03.2024;0,2;-
Fv91 Breivikeidet;SN91010;03.03.2024;1,6;-
Fv91 Breivikeidet;SN91010;04.03.2024;-3,9;-
Fv91 Breivikeidet;SN91010;05.03.2024;-5;-
Fv91 Breivikeidet;SN91010;06.03.2024;0;-
Fv91 Breivikeidet;SN91010;07.03.2024;2,1;-
Fv91 Breivikeidet;SN91010;08.03.2024;0,3;-
Fv91 Breivikeidet;SN91010;09.03.2024;1,4;-
Fv91 Breivikeidet;SN91010;10.03.2024;2,4;-
Fv91 Breivikeidet;SN91010;11.03.2024;2,1;-
Fv91 Breivikeidet;SN91010;12.03.2024;1,1;-
Fv91 Breivikeidet;SN91010;14.03.2024;-4,8;-
Fv91 Breivikeidet;SN91010;15.03.2024;-3,2;-
Fv91 Breivikeidet;SN91010;17.03.2024;-3,6;-
Fv91 Breivikeidet;SN91010;18.03.2024;2,7;-
Fv91 Breivikeidet;SN91010;19.03.2024;2,9;-
Fv91 Breivikeidet;SN91010;20.03.2024;2,7;-
Fv91 Breivikeidet;SN91010;21.03.2024;2,8;-
Fv91 Breivikeidet;SN91010;22.03.2024;2,2;-
Fv91 Breivikeidet;SN91010;24.03.2024;-2,8;-
Fv91 Breivikeidet;SN91010;25.03.2024;-4,5;-
Fv91 Breivikeidet;SN91010;26.03.2024;-8,3;-
Fv91 Breivikeidet;SN91010;27.03.2024;-7,1;-
Fv91 Breivikeidet;SN91010;28.03.2024;-4;-
Fv91 Breivikeidet;SN91010;29.03.2024;-3,5;-
Fv91 Breivikeidet;SN91010;30.03.2024;-0,9;-
Fv91 Breivikeidet;SN91010;01.04.2024;-6,2;-
Fv91 Breivikeidet;SN91010;02.04.2024;-6,9;-
Fv91 Breivikeidet;SN91010;03.04.2024;-5,8;-
Fv91 Breivikeidet;SN91010;04.04.2024;-11,3;-
Fv91 Breivikeidet;SN91010;05.04.2024;-10,2;-
Fv91 Breivikeidet;SN91010;06.04.2024;-6,5;-
Fv91 Breivikeidet;SN91010;07.04.2024;-2,5;-
Fv91 Breivikeidet;SN91010;08.04.2024;1;-
Fv91 Breivikeidet;SN91010;09.04.2024;2,2;-
Fv91 Breivikeidet;SN91010;10.04.2024;4,6;-
Fv91 Breivikeidet;SN91010;11.04.2024;3,6;-
Fv91 Breivikeidet;SN91010;12.04.2024;3,9;-
Fv91 Breivikeidet;SN91010;13.04.2024;4,5;-
Fv91 Breivikeidet;SN91010;14.04.2024;3,9;-
Fv91 Breivikeidet;SN91010;15.04.2024;1,4;-
Fv91 Breivikeidet;SN91010;16.04.2024;0,9;-
Fv91 Breivikeidet;SN91010;17.04.2024;-0,9;-
Fv91 Breivikeidet;SN91010;18.04.2024;-2,3;-
Fv91 Breivikeidet;SN91010;23.04.2024;-1,8;-
Fv91 Breivikeidet;SN91010;27.04.2024;2,4;-
Fv91 Breivikeidet;SN91010;28.04.2024;2,7;-
Fv91 Breivikeidet;SN91010;29.04.2024;4,1;-
Fv91 Breivikeidet;SN91010;30.04.2024;5,2;-
Fv91 Breivikeidet;SN91010;01.05.2024;6,3;-
Fv91 Breivikeidet;SN91010;14.08.2024;18,5;-
Fv91 Breivikeidet;SN91010;15.08.2024;15,4;-
Fv91 Breivikeidet;SN91010;16.08.2024;15,3;-
Fv91 Breivikeidet;SN91010;17.08.2024;15;-
Fv91 Breivikeidet;SN91010;18.08.2024;14,6;-
Fv91 Breivikeidet;SN91010;19.08.2024;11,3;-
Fv91 Breivikeidet;SN91010;20.08.2024;12,9;-
Fv91 Breivikeidet;SN91010;21.08.2024;14,6;-
Fv91 Breivikeidet;SN91010;22.08.2024;14,6;-
Fv91 Breivikeidet;SN91010;23.08.2024;15,5;-
Fv91 Breivikeidet;SN91010;24.08.2024;14,8;-
Fv91 Breivikeidet;SN91010;25.08.2024;12,5;-
Fv91 Breivikeidet;SN91010;26.08.2024;13,8;-
Fv91 Breivikeidet;SN91010;27.08.2024;10,9;-
Fv91 Breivikeidet;SN91010;28.08.2024;11,1;-
Fv91 Breivikeidet;SN91010;29.08.2024;13,9;-
Fv91 Breivikeidet;SN91010;30.08.2024;11,2;-
Fv91 Breivikeidet;SN91010;31.08.2024;11,8;-
Fv91 Breivikeidet;SN91010;03.09.2024;14,3;-
Fv91 Breivikeidet;SN91010;04.09.2024;18,1;-
Fv91 Breivikeidet;SN91010;05.09.2024;13,8;-
Fv91 Breivikeidet;SN91010;06.09.2024;16,6;-
Fv91 Breivikeidet;SN91010;07.09.2024;12,5;-
Fv91 Breivikeidet;SN91010;08.09.2024;14,6;-
Fv91 Breivikeidet;SN91010;09.09.2024;18,4;-
Fv91 Breivikeidet;SN91010;10.09.2024;18,6;-
Fv91 Breivikeidet;SN91010;11.09.2024;14,7;-
Fv91 Breivikeidet;SN91010;13.09.2024;10,7;-
Fv91 Breivikeidet;SN91010;14.09.2024;10,4;-
Fv91 Breivikeidet;SN91010;15.09.2024;8,9;-
Fv91 Breivikeidet;SN91010;16.09.2024;10,4;-
Fv91 Breivikeidet;SN91010;17.09.2024;11,3;-
Fv91 Breivikeidet;SN91010;20.09.2024;5,4;-
Fv91 Breivikeidet;SN91010;21.09.2024;4,9;-
Fv91 Breivikeidet;SN91010;22.09.2024;3,3;-
Fv91 Breivikeidet;SN91010;23.09.2024;4,2;-
Fv91 Breivikeidet;SN91010;24.09.2024;5,1;-
Fv91 Breivikeidet;SN91010;25.09.2024;5,1;-
Fv91 Breivikeidet;SN91010;26.09.2024;5,9;-
Fv91 Breivikeidet;SN91010;27.09.2024;2,9;-
Fv91 Breivikeidet;SN91010;28.09.2024;0,7;-
Fv91 Breivikeidet;SN91010;29.09.2024;0,6;-
Fv91 Breivikeidet;SN91010;30.09.2024;2,9;-
Fv91 Breivikeidet;SN91010;01.10.2024;4,9;-
Fv91 Breivikeidet;SN91010;02.10.2024;1,9;-
Fv91 Breivikeidet;SN91010;03.10.2024;1,9;-
Fv91 Breivikeidet;SN91010;04.10.2024;2,8;-
Fv91 Breivikeidet;SN91010;05.10.2024;2,3;-
Fv91 Breivikeidet;SN91010;06.10.2024;0,9;-
Fv91 Breivikeidet;SN91010;07.10.2024;-0,8;-
Fv91 Breivikeidet;SN91010;08.10.2024;-0,5;-
Fv91 Breivikeidet;SN91010;10.10.2024;4,9;-
Fv91 Breivikeidet;SN91010;11.10.2024;2,2;-
Fv91 Breivikeidet;SN91010;12.10.2024;4,7;-
Fv91 Breivikeidet;SN91010;13.10.2024;7,8;-
Fv91 Breivikeidet;SN91010;14.10.2024;5;-
Fv91 Breivikeidet;SN91010;15.10.2024;2,1;-
Fv91 Breivikeidet;SN91010;16.10.2024;3,2;-
Fv91 Breivikeidet;SN91010;17.10.2024;6,8;-
Fv91 Breivikeidet;SN91010;18.10.2024;11,6;-
Fv91 Breivikeidet;SN91010;19.10.2024;7,3;-
Fv91 Breivikeidet;SN91010;20.10.2024;4,1;-
Fv91 Breivikeidet;SN91010;21.10.2024;8;-
Fv91 Breivikeidet;SN91010;22.10.2024;7,6;-
Fv91 Breivikeidet;SN91010;23.10.2024;5;-
Fv91 Breivikeidet;SN91010;24.10.2024;5,4;-
Fv91 Breivikeidet;SN91010;25.10.2024;8,9;-
Fv91 Breivikeidet;SN91010;26.10.2024;2,3;-
Fv91 Breivikeidet;SN91010;28.10.2024;2,9;-
Fv91 Breivikeidet;SN91010;29.10.2024;0,2;-
Fv91 Breivikeidet;SN91010;30.10.2024;-0,5;-
Fv91 Breivikeidet;SN91010;31.10.2024;-2,4;-
Fv91 Breivikeidet;SN91010;01.11.2024;-5,9;-
Fv91 Breivikeidet;SN91010;02.11.2024;-1,1;-
Fv91 Breivikeidet;SN91010;03.11.2024;-0,6;-
Fv91 Breivikeidet;SN91010;04.11.2024;0,7;-
Fv91 Breivikeidet;SN91010;05.11.2024;3,4;-
Fv91 Breivikeidet;SN91010;06.11.2024;4,4;-
Fv91 Breivikeidet;SN91010;07.11.2024;7,7;-
Fv91 Breivikeidet;SN91010;08.11.2024;9,7;-
Fv91 Breivikeidet;SN91010;09.11.2024;3,1;-
Fv91 Breivikeidet;SN91010;10.11.2024;3,4;-
Fv91 Breivikeidet;SN91010;11.11.2024;1,2;-
Fv91 Breivikeidet;SN91010;12.11.2024;6,3;-
Fv91 Breivikeidet;SN91010;13.11.2024;6,2;-
Fv91 Breivikeidet;SN91010;15.11.2024;0,3;-
Fv91 Breivikeidet;SN91010;16.11.2024;2,6;-
Fv91 Breivikeidet;SN91010;17.11.2024;4,4;-
Fv91 Breivikeidet;SN91010;18.11.2024;0,2;-
Fv91 Breivikeidet;SN91010;19.11.2024;1,1;-
Fv91 Breivikeidet;SN91010;20.11.2024;-6,7;-
Fv91 Breivikeidet;SN91010;21.11.2024;-7,9;-
Fv91 Breivikeidet;SN91010;22.11.2024;0,2;-
Fv91 Breivikeidet;SN91010;23.11.2024;1,1;-
Fv91 Breivikeidet;SN91010;24.11.2024;-0,6;-
Fv91 Breivikeidet;SN91010;25.11.2024;-1,8;-
Fv91 Breivikeidet;SN91010;26.11.2024;-2,7;-
Fv91 Breivikeidet;SN91010;27.11.2024;-1,5;-
Fv91 Breivikeidet;SN91010;28.11.2024;1,4;-
Fv91 Breivikeidet;SN91010;29.11.2024;-1,9;-
Fv91 Breivikeidet;SN91010;30.11.2024;-3,4;-
Fv91 Breivikeidet;SN91010;01.12.2024;-5,3;-
Fv91 Breivikeidet;SN91010;02.12.2024;-3,3;-
Fv91 Breivikeidet;SN91010;03.12.2024;-4,6;-
Fv91 Breivikeidet;SN91010;04.12.2024;-6,2;-
Fv91 Breivikeidet;SN91010;06.12.2024;-10,3;-
Fv91 Breivikeidet;SN91010;07.12.2024;-2,6;-
Fv91 Breivikeidet;SN91010;08.12.2024;2,1;-
Fv91 Breivikeidet;SN91010;09.12.2024;2,8;-
Fv91 Breivikeidet;SN91010;10.12.2024;2,8;-
Fv91 Breivikeidet;SN91010;11.12.2024;-1,8;-
Fv91 Breivikeidet;SN91010;12.12.2024;-3,5;-
Fv91 Breivikeidet;SN91010;13.12.2024;-10,1;-
Fv91 Breivikeidet;SN91010;14.12.2024;-9,2;-
Fv91 Breivikeidet;SN91010;15.12.2024;-8,7;-
Fv91 Breivikeidet;SN91010;16.12.2024;-10,8;-
Fv91 Breivikeidet;SN91010;17.12.2024;-7,3;-
Fv91 Breivikeidet;SN91010;18.12.2024;-19,4;-
Fv91 Breivikeidet;SN91010;19.12.2024;-5,7;-
Fv91 Breivikeidet;SN91010;20.12.2024;-6,7;-
Fv91 Breivikeidet;SN91010;21.12.2024;-6;-
Fv91 Breivikeidet;SN91010;22.12.2024;-8,4;-
Fv91 Breivikeidet;SN91010;23.12.2024;-8,1;-
Fv91 Breivikeidet;SN91010;24.12.2024;-11,3;-
Fv91 Breivikeidet;SN91010;25.12.2024;2;-
Fv91 Breivikeidet;SN91010;26.12.2024;1,7;-
Fv91 Breivikeidet;SN91010;27.12.2024;1;-
Fv91 Breivikeidet;SN91010;28.12.2024;1,6;-
Fv91 Breivikeidet;SN91010;29.12.2024;1,3;-
Fv91 Breivikeidet;SN91010;30.12.2024;0,7;-
Fv91 Breivikeidet;SN91010;31.12.2024;-3,2;-
Fv91 Breivikeidet;SN91010;09.04.2019;-;103
Fv91 Breivikeidet;SN91010;22.08.2019;-;0
Fv91 Breivikeidet;SN91010;07.12.2019;-;51
Fv91 Breivikeidet;SN91010;14.12.2019;-;67
Fv91 Breivikeidet;SN91010;22.12.2019;-;66
Fv91 Breivikeidet;SN91010;23.12.2019;-;65
Fv91 Breivikeidet;SN91010;14.01.2020;-;83
Fv91 Breivikeidet;SN91010;21.03.2020;-;184
Fv91 Breivikeidet;SN91010;22.03.2020;-;176
Fv91 Breivikeidet;SN91010;23.03.2020;-;166
Fv91 Breivikeidet;SN91010;24.03.2020;-;156
Fv91 Breivikeidet;SN91010;26.03.2020;-;159
Fv91 Breivikeidet;SN91010;11.04.2020;-;199
Fv91 Breivikeidet;SN91010;25.05.2020;-;41
Fv91 Breivikeidet;SN91010;26.05.2020;-;21
Fv91 Breivikeidet;SN91010;27.05.2020;-;13
Fv91 Breivikeidet;SN91010;07.12.2020;-;18
Fv91 Breivikeidet;SN91010;14.12.2020;-;13
Fv91 Breivikeidet;SN91010;27.12.2020;-;12
Fv91 Breivikeidet;SN91010;21.03.2021;-;72
Fv91 Breivikeidet;SN91010;10.05.2021;-;12
Fv91 Breivikeidet;SN91010;15.10.2021;-;0
Fv91 Breivikeidet;SN91010;07.11.2021;-;0
Fv91 Breivikeidet;SN91010;30.11.2021;-;21
Fv91 Breivikeidet;SN91010;18.05.2022;-;102
Fv91 Breivikeidet;SN91010;29.05.2022;-;13
Fv91 Breivikeidet;SN91010;05.06.2022;-;33
Fv91 Breivikeidet;SN91010;08.07.2022;-;8
Fv91 Breivikeidet;SN91010;10.07.2022;-;49
Fv91 Breivikeidet;SN91010;12.07.2022;-;21
Fv91 Breivikeidet;SN91010;24.07.2022;-;51
Fv91 Breivikeidet;SN91010;25.07.2022;-;30
Data er gyldig per 20.02.2025 (CC BY 4.0), Meteorologisk institutt (MET);;;;
