Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Lyfjord;SN90570;10.11.1979;11,5;0
Lyfjord;SN90570;11.11.1979;5,5;4
Lyfjord;SN90570;12.11.1979;0;0
Lyfjord;SN90570;13.11.1979;0;0
Lyfjord;SN90570;14.11.1979;0;0
Lyfjord;SN90570;15.11.1979;0,1;0
Lyfjord;SN90570;16.11.1979;0;0
Lyfjord;SN90570;17.11.1979;0;0
Lyfjord;SN90570;18.11.1979;0;0
Lyfjord;SN90570;19.11.1979;0;0
Lyfjord;SN90570;20.11.1979;1,2;0
Lyfjord;SN90570;21.11.1979;0;0
Lyfjord;SN90570;22.11.1979;4,5;0
Lyfjord;SN90570;23.11.1979;14,4;1
Lyfjord;SN90570;24.11.1979;7;6
Lyfjord;SN90570;25.11.1979;16,5;10
Lyfjord;SN90570;26.11.1979;1;10
Lyfjord;SN90570;27.11.1979;0;10
Lyfjord;SN90570;28.11.1979;13;23
Lyfjord;SN90570;29.11.1979;0;21
Lyfjord;SN90570;30.11.1979;2;23
Lyfjord;SN90570;01.12.1979;9,4;22
Lyfjord;SN90570;02.12.1979;6;24
Lyfjord;SN90570;03.12.1979;3,4;10
Lyfjord;SN90570;04.12.1979;3;10
Lyfjord;SN90570;05.12.1979;0;10
Lyfjord;SN90570;06.12.1979;1,4;10
Lyfjord;SN90570;07.12.1979;2,1;10
Lyfjord;SN90570;08.12.1979;7;13
Lyfjord;SN90570;09.12.1979;9;15
Lyfjord;SN90570;10.12.1979;1;15
Lyfjord;SN90570;11.12.1979;0;15
Lyfjord;SN90570;12.12.1979;1,2;15
Lyfjord;SN90570;13.12.1979;3,2;16
Lyfjord;SN90570;14.12.1979;0,4;16
Lyfjord;SN90570;15.12.1979;0;16
Lyfjord;SN90570;16.12.1979;0;16
Lyfjord;SN90570;17.12.1979;0;16
Lyfjord;SN90570;18.12.1979;0;16
Lyfjord;SN90570;19.12.1979;0;16
Lyfjord;SN90570;20.12.1979;3,6;16
Lyfjord;SN90570;21.12.1979;0,3;15
Lyfjord;SN90570;22.12.1979;16,6;10
Lyfjord;SN90570;23.12.1979;0;5
Lyfjord;SN90570;24.12.1979;0;5
Lyfjord;SN90570;25.12.1979;0,3;4
Lyfjord;SN90570;26.12.1979;0;0
Lyfjord;SN90570;27.12.1979;0;0
Lyfjord;SN90570;28.12.1979;0;0
Lyfjord;SN90570;29.12.1979;0;0
Lyfjord;SN90570;30.12.1979;0;0
Lyfjord;SN90570;31.12.1979;0;0
Lyfjord;SN90570;01.01.1980;0;0
Lyfjord;SN90570;02.01.1980;8;10
