Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Kvalsund - Simavik;SN90610;17.10.1976;0;0
Kvalsund - Simavik;SN90610;18.10.1976;0;0
Kvalsund - Simavik;SN90610;19.10.1976;0;0
Kvalsund - Simavik;SN90610;20.10.1976;0;0
Kvalsund - Simavik;SN90610;21.10.1976;0,9;0
Kvalsund - Simavik;SN90610;22.10.1976;1;0
Kvalsund - Simavik;SN90610;23.10.1976;0,5;0
Kvalsund - Simavik;SN90610;24.10.1976;1;0
Kvalsund - Simavik;SN90610;25.10.1976;1;0
Kvalsund - Simavik;SN90610;26.10.1976;0,2;0
Kvalsund - Simavik;SN90610;27.10.1976;0;0
Kvalsund - Simavik;SN90610;28.10.1976;0;0
Kvalsund - Simavik;SN90610;29.10.1976;0;0
Kvalsund - Simavik;SN90610;30.10.1976;1,4;0
Kvalsund - Simavik;SN90610;31.10.1976;0;0
Kvalsund - Simavik;SN90610;01.11.1976;0;0
Kvalsund - Simavik;SN90610;02.11.1976;0;0
Kvalsund - Simavik;SN90610;03.11.1976;0;0
Kvalsund - Simavik;SN90610;04.11.1976;0;0
Kvalsund - Simavik;SN90610;05.11.1976;0;0
Kvalsund - Simavik;SN90610;06.11.1976;0;0
Kvalsund - Simavik;SN90610;07.11.1976;3,9;0
Kvalsund - Simavik;SN90610;08.11.1976;0,2;0
Kvalsund - Simavik;SN90610;09.11.1976;0;0
Kvalsund - Simavik;SN90610;10.11.1976;0,9;0
Kvalsund - Simavik;SN90610;11.11.1976;4,5;0
Kvalsund - Simavik;SN90610;12.11.1976;4,6;3
Kvalsund - Simavik;SN90610;13.11.1976;8,5;11
Kvalsund - Simavik;SN90610;14.11.1976;11;26
Kvalsund - Simavik;SN90610;15.11.1976;3,9;24
Kvalsund - Simavik;SN90610;16.11.1976;0;23
Kvalsund - Simavik;SN90610;17.11.1976;2;9
Kvalsund - Simavik;SN90610;18.11.1976;11,3;0
Kvalsund - Simavik;SN90610;19.11.1976;15,5;4
Kvalsund - Simavik;SN90610;20.11.1976;16;0
Kvalsund - Simavik;SN90610;21.11.1976;18,7;3
Kvalsund - Simavik;SN90610;22.11.1976;5,6;3
Kvalsund - Simavik;SN90610;23.11.1976;7,6;12
Kvalsund - Simavik;SN90610;24.11.1976;12,5;22
Kvalsund - Simavik;SN90610;25.11.1976;14,2;31
Kvalsund - Simavik;SN90610;26.11.1976;0;29
Kvalsund - Simavik;SN90610;27.11.1976;0;29
Kvalsund - Simavik;SN90610;28.11.1976;0;26
Kvalsund - Simavik;SN90610;29.11.1976;0,5;25
Kvalsund - Simavik;SN90610;30.11.1976;8,5;27
Kvalsund - Simavik;SN90610;01.12.1976;5,6;26
Kvalsund - Simavik;SN90610;02.12.1976;0;26
Kvalsund - Simavik;SN90610;03.12.1976;0;25
Kvalsund - Simavik;SN90610;04.12.1976;0;25
Kvalsund - Simavik;SN90610;05.12.1976;0;22
Kvalsund - Simavik;SN90610;06.12.1976;0;22
Kvalsund - Simavik;SN90610;07.12.1976;0,1;20
Kvalsund - Simavik;SN90610;08.12.1976;0;20
Kvalsund - Simavik;SN90610;09.12.1976;0;20
Kvalsund - Simavik;SN90610;10.12.1976;0;20
Kvalsund - Simavik;SN90610;11.12.1976;0;20
Kvalsund - Simavik;SN90610;12.12.1976;0;20
Kvalsund - Simavik;SN90610;13.12.1976;0;20
Kvalsund - Simavik;SN90610;14.12.1976;0;20
Kvalsund - Simavik;SN90610;15.12.1976;0;20
Kvalsund - Simavik;SN90610;16.12.1976;0;20
Kvalsund - Simavik;SN90610;17.12.1976;0;20
Kvalsund - Simavik;SN90610;18.12.1976;0;20
Kvalsund - Simavik;SN90610;19.12.1976;0;20
Kvalsund - Simavik;SN90610;20.12.1976;0;20
